"year","CU","spawners","recruits"
1967,"2 - North East Vancouver Island",22147.4336005053,7989.69982279642
1968,"2 - North East Vancouver Island",80245.2749718515,40052.020113474
1969,"2 - North East Vancouver Island",14578.9496912536,37637.2089454292
1970,"2 - North East Vancouver Island",26232.3902599764,6802.27661699309
1971,"2 - North East Vancouver Island",9920.14283990955,7045.1766681895
1972,"2 - North East Vancouver Island",29080.4834820755,14850.7002128014
1973,"2 - North East Vancouver Island",35154.1046795605,15447.2896246871
1974,"2 - North East Vancouver Island",9561.68156125267,23656.9676099871
1975,"2 - North East Vancouver Island",10844.5046549661,7022.3078219113
1976,"2 - North East Vancouver Island",8132.11625702554,16685.2143865899
1977,"2 - North East Vancouver Island",17931.209694315,20684.1620800113
1978,"2 - North East Vancouver Island",19648.4512245593,56453.2044655187
1979,"2 - North East Vancouver Island",8003.70012917789,21340.9083172313
1980,"2 - North East Vancouver Island",17190.2202763963,24514.5807268427
1981,"2 - North East Vancouver Island",12168.1297285971,81681.6007406294
1982,"2 - North East Vancouver Island",65845.3658388486,119617.690801379
1983,"2 - North East Vancouver Island",9332.4621549099,43016.3456529999
1984,"2 - North East Vancouver Island",45176.8262187542,107214.75317078
1985,"2 - North East Vancouver Island",80520.6068753977,33690.881060492
1986,"2 - North East Vancouver Island",101776.945389457,133201.659094826
1987,"2 - North East Vancouver Island",17979.5296749809,54741.0729818142
1988,"2 - North East Vancouver Island",115763.691029957,163766.383251187
1989,"2 - North East Vancouver Island",28685.9335733432,80683.249327287
1990,"2 - North East Vancouver Island",92322.8093942196,83171.1511554665
1991,"2 - North East Vancouver Island",87409.2382086964,50609.7305609758
1992,"2 - North East Vancouver Island",140669.108739662,20758.8387900191
1993,"2 - North East Vancouver Island",65061.2887151044,71676.9613416895
1994,"2 - North East Vancouver Island",95048.7850201486,152777.021476435
1995,"2 - North East Vancouver Island",66813.8175000706,22932.6655607589
1996,"2 - North East Vancouver Island",4257.30392998608,5364.04477566071
1997,"2 - North East Vancouver Island",75135.8151045027,78108.6280147394
1998,"2 - North East Vancouver Island",163762.959692301,158917.113325259
1999,"2 - North East Vancouver Island",2558.04597848844,62313.0285635717
2000,"2 - North East Vancouver Island",3049.38691994203,9796.06810715447
2001,"2 - North East Vancouver Island",75011.5220517886,38519.1254994502
2002,"2 - North East Vancouver Island",196568.655479166,45257.918335501
2003,"2 - North East Vancouver Island",23796.1627920586,22469.1780168097
2004,"2 - North East Vancouver Island",10907.3052738839,4134.28823148985
2005,"2 - North East Vancouver Island",46949.676299868,10071.3938814887
2006,"2 - North East Vancouver Island",44754.6851423745,12928.335698189
2007,"2 - North East Vancouver Island",15988.4953959532,NA
2008,"2 - North East Vancouver Island",6943.8615332438,NA
2009,"2 - North East Vancouver Island",15689.9553345322,NA
2010,"2 - North East Vancouver Island",19867.6375351264,NA
2011,"2 - North East Vancouver Island",90017.8058023117,NA
2012,"2 - North East Vancouver Island",22323.1505042672,NA
2013,"2 - North East Vancouver Island",16518.7806559463,NA
1953,"3 - Upper Knight",17250,NA
1954,"3 - Upper Knight",6500,NA
1955,"3 - Upper Knight",4650,34417.8065466432
1956,"3 - Upper Knight",18000,21974.199841986
1957,"3 - Upper Knight",38900,49489.7447611441
1958,"3 - Upper Knight",40000,8448.57692297389
1959,"3 - Upper Knight",20000,20672.1182865375
1960,"3 - Upper Knight",19250,16962.1260220226
1961,"3 - Upper Knight",42000,5448.43812862206
1962,"3 - Upper Knight",16500,4503.12463877891
1963,"3 - Upper Knight",9750,1067.79767772251
1964,"3 - Upper Knight",16500,1873.87308789018
1965,"3 - Upper Knight",2275,432.44998914103
1966,"3 - Upper Knight",4342.34035400659,11344.2734322641
1967,"3 - Upper Knight",998.240048114959,2445.42347384617
1968,"3 - Upper Knight",1350,48203.0022583045
1969,"3 - Upper Knight",128.805167498704,37756.3068804757
1970,"3 - Upper Knight",11119.3549385062,6467.29440552324
1971,"3 - Upper Knight",1111.93549385062,5838.80837074764
1972,"3 - Upper Knight",39804.7865783938,24612.6153013298
